type,kana,romaji
Hiragana,あ,a
Hiragana,い,i
Hiragana,う,u
Hiragana,え,e
Hiragana,お,o
Hiragana,か,ka
Hiragana,き,ki
Hiragana,く,ku
Hiragana,け,ke
Hiragana,こ,ko
Hiragana,さ,sa
Hiragana,し,shi
Hiragana,す,su
Hiragana,せ,se
Hiragana,そ,so
Hiragana,た,ta
Hiragana,ち,chi
Hiragana,つ,tsu
Hiragana,て,te
Hiragana,と,to
Hiragana,な,na
Hiragana,に,ni
Hiragana,ぬ,nu
Hiragana,ね,ne
Hiragana,の,no
Hiragana,は,ha
Hiragana,ひ,hi
Hiragana,ふ,fu
Hiragana,へ,he
Hiragana,ほ,ho
Hiragana,ま,ma
Hiragana,み,mi
Hiragana,む,mu
Hiragana,め,me
Hiragana,も,mo
Hiragana,や,ya
Hiragana,ゆ,yu
Hiragana,よ,yo
Hiragana,ら,ra
Hiragana,り,ri
Hiragana,る,ru
Hiragana,れ,re
Hiragana,ろ,ro
Hiragana,わ,wa
Hiragana,を,wo
Hiragana,ん,n
Katakana,ア,a
Katakana,イ,i
Katakana,ウ,u
Katakana,エ,e
Katakana,オ,o
Katakana,カ,ka
Katakana,キ,ki
Katakana,ク,ku
Katakana,ケ,ke
Katakana,コ,ko
Katakana,サ,sa
Katakana,シ,shi
Katakana,ス,su
Katakana,セ,se
Katakana,ソ,so
Katakana,タ,ta
Katakana,チ,chi
Katakana,ツ,tsu
Katakana,テ,te
Katakana,ト,to
Katakana,ナ,na
Katakana,ニ,ni
Katakana,ヌ,nu
Katakana,ネ,ne
Katakana,ノ,no
Katakana,ハ,ha
Katakana,ヒ,hi
Katakana,フ,fu
Katakana,ヘ,he
Katakana,ホ,ho
Katakana,マ,ma
Katakana,ミ,mi
Katakana,ム,mu
Katakana,メ,me
Katakana,モ,mo
Katakana,ヤ,ya
Katakana,ユ,yu
Katakana,ヨ,yo
Katakana,ラ,ra
Katakana,リ,ri
Katakana,ル,ru
Katakana,レ,re
Katakana,ロ,ro
Katakana,ワ,wa
Katakana,ヲ,wo
Katakana,ン,n
Kanji,日,hi
Kanji,月,tsuki
Kanji,火,hi
Kanji,水,mizu
Kanji,木,ki
Kanji,金,kin
Kanji,土,tsuchi
Kanji,一,ichi
Kanji,二,ni
Kanji,三,san
Kanji,四,shi
Kanji,五,go
Kanji,六,roku
Kanji,七,shichi
Kanji,八,hachi
Kanji,九,kyuu
Kanji,十,juu